file,function,line,match,message,secret_type,severity,source,timestamp,type,vuln_type
index.py,api-gateway-backend,16,,Potential SQL Injection vulnerability,,HIGH,code_scan,2026-02-14T22:41:30.537906,VULNERABILITY,SQL Injection
index.py,api-gateway-backend,15,,Potential Command Injection vulnerability,,HIGH,code_scan,2026-02-14T22:41:30.537914,VULNERABILITY,Command Injection
,api-gateway-backend,,,Failed to analyze IAM: Failed to get policies for role ScopedLambdaExecutionRole: An error occurred (AccessDenied) when calling the ListRolePolicies operation: User: arn:aws:iam::014498641736:user/LambdaSecurityAssessmentUser is not authorized to perform: iam:ListRolePolicies on resource: role ScopedLambdaExecutionRole because no identity-based policy allows the iam:ListRolePolicies action,,LOW,iam_error,2026-02-14T22:41:31.087782,IAM_ERROR,
,file-processor,,,Failed to analyze IAM: Failed to get policies for role ScopedLambdaExecutionRole: An error occurred (AccessDenied) when calling the ListRolePolicies operation: User: arn:aws:iam::014498641736:user/LambdaSecurityAssessmentUser is not authorized to perform: iam:ListRolePolicies on resource: role ScopedLambdaExecutionRole because no identity-based policy allows the iam:ListRolePolicies action,,LOW,iam_error,2026-02-14T22:41:32.438565,IAM_ERROR,
index.py,database-connector,6,password: {os.environ.get(,Potential Database Password found,Database Password,CRITICAL,code_scan,2026-02-14T22:41:33.680286,SECRET,
index.py,database-connector,6,,Potential SQL Injection vulnerability,,HIGH,code_scan,2026-02-14T22:41:33.680298,VULNERABILITY,SQL Injection
index.py,database-connector,7,,Potential SQL Injection vulnerability,,HIGH,code_scan,2026-02-14T22:41:33.680300,VULNERABILITY,SQL Injection
,database-connector,,,Failed to analyze IAM: Failed to get policies for role ScopedLambdaExecutionRole: An error occurred (AccessDenied) when calling the ListRolePolicies operation: User: arn:aws:iam::014498641736:user/LambdaSecurityAssessmentUser is not authorized to perform: iam:ListRolePolicies on resource: role ScopedLambdaExecutionRole because no identity-based policy allows the iam:ListRolePolicies action,,LOW,iam_error,2026-02-14T22:41:33.828974,IAM_ERROR,
index.py,public-data-api,16,,Potential SQL Injection vulnerability,,HIGH,code_scan,2026-02-14T22:41:34.934539,VULNERABILITY,SQL Injection
,public-data-api,,,Failed to analyze IAM: Failed to get policies for role ScopedLambdaExecutionRole: An error occurred (AccessDenied) when calling the ListRolePolicies operation: User: arn:aws:iam::014498641736:user/LambdaSecurityAssessmentUser is not authorized to perform: iam:ListRolePolicies on resource: role ScopedLambdaExecutionRole because no identity-based policy allows the iam:ListRolePolicies action,,LOW,iam_error,2026-02-14T22:41:35.082229,IAM_ERROR,
,public-data-api,,,Lambda function public-data-api is publicly accessible,,CRITICAL,public_access,2026-02-14T22:41:35.228940,PUBLIC_ACCESS,
